Ticker,Status,Gates_Passed,Close,EMA_200,RSI,ADX,OBV,OBV_EMA_20,MACD_Line,Signal_Line,ATR,RSI_Score,ADX_Score,OBV_Score,Final_Mo_Score
AACB,Disqualified,+DI <= -DI | MACD fails conditions,10.489999771118164,10.338845073293855,56.32542816537131,32.51800454187288,2615200.0,2745646.48269496,0.0167002919494319,0.02140119738874868,0.020688644164956835,0,0,0,0
AACO,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
AAOI,Disqualified,+DI <= -DI | MACD fails conditions,138.5399932861328,98.71791620400104,41.117767680624894,14.523130542393089,131627700.0,178826456.86022896,-5.68770731645219,-0.5567438510079359,22.166472508183467,0,0,0,0
AAPL,Disqualified,+DI <= -DI | MACD fails conditions,275.1499938964844,266.22837105538497,32.21626502278288,23.92417562086646,1311693900.0,1473308509.104858,-1.567482712924857,1.2271115034712652,7.88196504306191,0,0,0,0
AAUC,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,22.850000381469727,25.32584550254005,27.64899769408268,47.04402058525449,14131300.0,14923925.707383577,-1.055419359845125,-0.9103019610819847,1.0421795319707072,0,0,0,0
ABTC,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,0.7059999704360962,2.2487018471000213,26.78348531249702,15.770946387703423,-273024520.0,-238470619.61460063,-0.08356257468955808,-0.07364007774243553,0.06928976384526539,0,0,0,0
ABTS,Disqualified,Price <= EMA_200 | MACD fails conditions,1.159999966621399,3.058815245321897,45.873376660674914,22.9799921400902,169124900.0,149145895.87889633,-0.038189427538894094,-0.004002292627160514,0.27570798411841474,0,0,0,0
ACIW,Passed,Passed,46.65999984741211,44.22018204896829,61.80119769911779,15.606777751262523,8261100.0,7349524.63127946,0.7305897291055601,0.4771633110770177,1.6740465964286073,10,0,10,20
ACLS,Disqualified,MACD fails conditions,180.6999969482422,113.25144334714064,57.81463395165819,27.41126273104072,-620900.0,-1235327.4958424931,7.87247881785288,8.16135591769948,12.069227072267287,0,0,0,0
ACMR,Disqualified,Passed,106.86000061035156,54.92163320957456,65.66069239484284,42.547894713417506,53560300.0,47549518.23552787,8.902200652625467,8.300589373432242,9.009307561618137,10,5,0,15
ACOG,Disqualified,Price <= EMA_200,6.5,6.562917454695828,56.77691061472267,15.357495891559342,-180500.0,-133747.35162262648,0.1542367118551491,0.09459838105905521,0.38674781268427866,0,0,0,0
AD,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,35.88999938964844,36.56564803304028,30.656321979152324,24.105660625213762,4542500.0,7482132.9246317325,-0.7347963310691128,-0.2179661748829202,1.3750331664854973,0,0,0,0
ADAC,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
ADBE,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,193.41000366210938,284.30994770791193,28.361193389014588,25.206531685731296,-163818300.0,-122799146.4845248,-14.63908070449321,-11.213862571239387,9.717755259375565,0,0,0,0
ADEA,Disqualified,MACD fails conditions,30.389999389648438,22.700153903367266,50.11331547949997,26.110616611424465,30866930.0,28395393.162803452,0.4911218975963578,0.6809695140503993,2.1583099936456542,0,0,0,0
ADI,Disqualified,MACD fails conditions,417.92999267578125,331.42099141096696,51.69020596224159,17.625728319979874,108948400.0,94249598.9444027,4.8067953556681005,5.754386350190609,18.926042996083652,0,0,0,0
ADSK,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,189.72999572753906,255.78641100588032,29.989949466264108,29.052438882139814,11916300.0,12694835.537427882,-12.821524803457663,-10.649236857834863,9.041501465253726,0,0,0,0
AEAQ,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
AEIS,Disqualified,Passed,375.1499938964844,280.93745180663217,58.645436428388926,19.05629206056608,15562900.0,14717495.114765074,10.496084032019496,4.9322848870803915,20.99370218636862,10,0,0,10
AEXA,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
AEYE,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,5.980000019073486,8.732908341764634,35.91677530421691,17.44552213861045,-988700.0,-792583.4500317484,-0.3409651234241826,-0.2481619300234334,0.45729571106347233,0,0,0,0
AFJK,Disqualified,Price <= EMA_200 | MACD fails conditions,28.200000762939453,33.00154260246974,33.43430659160076,29.043997772525106,9902300.0,9914807.24693031,-3.1867655986906414,-2.2837072826735336,5.8767220819961,0,0,0,0
AGM-A,Disqualified,Passed,144.0,129.75482684144424,68.82248655789752,25.73840071231101,-14300.0,-19503.991040003075,2.220662189565928,1.8496102008738193,1.8154369943983342,5,5,0,10
AGMH,Disqualified,Price <= EMA_200 | MACD fails conditions,1.0399999618530273,1.8325982202595035,44.20653621197674,27.229471639582247,209855800.0,208904726.67700887,-0.004196739230061697,0.0240689274895698,0.13461696746275706,0,0,0,0
AGYS,Disqualified,MACD fails conditions,97.51000213623047,90.71492154114813,70.60395706577486,34.27880749137624,3504200.0,2093738.0089125726,3.5799165765674985,3.712349032687957,4.790262196456232,0,0,0,0
AI,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,8.75,12.703043332433522,34.01357692939693,21.238883223066825,-130627500.0,-111214123.96787517,-0.0643055352739097,0.2050732502895529,0.6652196200633934,0,0,0,0
AIAI,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
AIBZ,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
AIFF,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,1.25,1.8336296321938228,30.098899996357076,24.912410099017468,580540100.0,580223597.123848,-0.13650220602069685,-0.10672928334611138,0.1159070796307188,0,0,0,0
AIMD,Disqualified,Price <= EMA_200 | MACD fails conditions,1.7999999523162842,2.1054700498368644,45.27933855465981,35.84856414154209,186811980.0,185217943.4764986,-0.03337538870552148,0.005706268302110012,0.24861201306180067,0,0,0,0
AIOT,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,3.7100000381469727,4.072624421529193,46.56683499607916,24.745349938526736,-14649700.0,-10351293.717573782,0.09299888516205312,0.14946483028126914,0.24652924795515022,0,0,0,0
AIP,Passed,Passed,43.59000015258789,22.03073391836008,63.79159052493876,37.321003190178736,53047600.0,51148299.93337331,2.786945332508367,2.6957143943605066,2.8258038467138555,10,10,0,20
AIRG,Disqualified,+DI <= -DI | MACD fails conditions,6.159999847412109,5.394146885609829,35.33236981028794,14.944440354390721,1902300.0,2042089.3463641247,-0.11764372497763809,-0.019109827675082985,0.35817375263494444,0,0,0,0
AISP,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,2.5799999237060547,3.219534775887941,42.87565844028077,17.674284741841923,-2162100.0,-2113408.836809103,0.03712973309400169,0.08134486277248536,0.24111999620098296,0,0,0,0
AIXI,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,2.140000104904175,3.2215281674977487,26.10588834529085,34.103757034734144,1942842500.0,1959337827.8411756,-1.4112812605141762,-0.4342300338933236,1.4559627531139416,0,0,0,0
AKO-A,Disqualified,+DI <= -DI,22.68000030517578,21.939094386941935,50.41799540460406,24.241082435657002,54000.0,53060.67856396329,0.024441226578748143,0.021417757542937448,0.4392303338199649,0,0,0,0
AKO-B,Disqualified,Passed,29.43000030517578,27.20597275134287,54.940240001456765,20.36410338961691,736900.0,719791.9749261021,0.34869043367847397,0.2780629831905817,1.2609757417136618,0,5,0,5
ALAB,Disqualified,MACD fails conditions,398.0,200.50026590226463,61.561333141826495,44.27598669345376,129028000.0,114560924.00953248,37.20294584583468,38.1699868086865,33.89228108774366,0,0,0,0
ALAR,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,7.980000019073486,9.071598442549561,43.34893985077141,25.34674942056834,-426400.0,-539513.8210867643,0.10626900511495485,0.3597155585047496,0.7969671568974163,0,0,0,0
ALCO,Disqualified,+DI <= -DI | MACD fails conditions,40.38999938964844,38.56278754919318,46.2451982527651,9.521962317506363,1122600.0,1142715.4268948738,-0.15256162828519138,-0.15735765042608468,0.7725472423057037,0,0,0,0
ALDF,Disqualified,+DI <= -DI | MACD fails conditions,10.65999984741211,10.56417094997442,49.56062069482887,24.59410198910094,501100.0,589946.6749671208,0.008045709920818211,0.011419936814683024,0.011828821824407905,0,0,0,0
ALF,Disqualified,MACD fails conditions,10.880000114440918,10.731375291706257,59.6646038624732,28.61851396576059,560500.0,992644.0243461723,-0.004317210485195844,-0.005013404851478002,0.03608666987455998,0,0,0,0
ALGM,Disqualified,Passed,60.15999984741211,38.40866949653859,62.59841883702962,24.80441277448031,27872100.0,20886430.92278951,3.2289009930663255,2.5527446484245675,4.045439436592724,10,5,0,15
ALIS,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
ALKT,Disqualified,Price <= EMA_200 | MACD fails conditions,15.84000015258789,19.312449626078365,49.24277765372185,12.929879460857121,-24003900.0,-19246011.819551628,-0.3919826090936329,-0.4256495593689325,0.812753054208882,0,0,0,0
ALLT,Disqualified,Price <= EMA_200 | MACD fails conditions,7.400000095367432,8.148987536239684,49.92609340972332,11.628557860620887,5811600.0,4493860.164886815,-0.08297872469453793,-0.0730948538457902,0.36546142569984225,0,0,0,0
ALMU,Disqualified,+DI <= -DI | MACD fails conditions,20.399999618530273,18.921194653316935,42.01363607173253,14.49205876680764,17073700.0,19535227.076829188,-0.3208633265255969,0.2414748366473669,2.930262772698768,0,0,0,0
ALOT,Disqualified,Passed,28.459999084472656,12.271508378751411,90.79770052828098,57.07010615604302,4971300.0,3079973.539574244,3.7587433076475882,2.538530131038984,1.1490938226657026,-10,5,0,-5
ALOV,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
ALOY,Disqualified,Passed,14.25,10.55911847746788,51.003814967448264,37.17521858933354,20150800.0,16286152.346175307,1.7295779572700063,1.6295860835497058,1.959775853429281,0,10,0,10
ALPS,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
ALRM,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,44.06999969482422,48.20555593039844,45.726204162349426,13.438799851704378,-7451100.0,-6559118.949386548,-0.1569554890103504,0.05243540363930083,1.520502602133785,0,0,0,0
ALUB,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
AMAT,Disqualified,Passed,668.0,354.09572515143924,72.52752293667265,31.23909266740753,368578700.0,313233537.8052884,50.41041110106573,42.24725916066056,37.32797436272758,5,10,0,15
AMBA,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,64.11000061035156,67.9010493847404,42.8521123485058,24.398474247333873,11252500.0,11247833.40785185,-2.4155847578668386,-1.7123603710723445,5.0338308571065,0,0,0,0
AMBQ,Disqualified,MACD fails conditions,83.43000030517578,44.92535027058601,56.920759221072146,34.51143575472072,18698000.0,15562307.865565738,5.138088506935489,6.449875116508695,6.7395132633835235,0,0,0,0
AMCX,Disqualified,MACD fails conditions,9.449999809265137,8.22454573800432,49.91234695309717,19.82518801959747,11361400.0,11722663.96439592,0.15036677371860563,0.2404785810394055,0.4443828245527808,0,0,0,0
AMD,Disqualified,MACD fails conditions,532.5700073242188,294.9119121578492,58.492500446409906,24.849342079238617,1898616500.0,1849155789.1786778,26.546377770750325,29.771276940696016,33.37105919449583,0,0,0,0
AMKR,Disqualified,Passed,85.62000274658203,52.76986126202647,58.92611490145047,23.28092062134862,123478300.0,107811931.92442372,4.77988268584123,4.128416124167199,6.9020401611201825,10,5,0,15
AMPG,Disqualified,MACD fails conditions,6.980000019073486,3.604955424540749,53.63760737100178,44.95075493211069,73085000.0,66964955.56472786,1.0276564794303935,1.2134332302432551,1.0335210514249542,0,0,0,0
AMPL,Disqualified,Price <= EMA_200 | MACD fails conditions,6.760000228881836,8.514773759207989,46.843250467791,12.352387566937248,-22642400.0,-18783121.92377329,-0.10196965575920469,-0.045893102433344754,0.45475329370159745,0,0,0,0
AMST,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,1.0800000429153442,1.9303404966694844,39.14843955163351,11.232499562831476,192239800.0,182343160.41424313,-0.06994002961220036,-0.043210692554262166,0.15206562972872112,0,0,0,0
ANET,Disqualified,MACD fails conditions,165.4499969482422,141.242653659732,53.669378335893306,13.296414423481542,211097000.0,204940992.23155114,2.972306867668351,3.0125262333035123,8.386930841718343,0,0,0,0
ANSC,Passed,Passed,11.430000305175781,11.20268106733262,61.46733675480193,29.67156597598297,8542900.0,8471639.408193404,0.022220404178245445,0.02034786325768765,0.024122882464687405,10,10,0,20
AOSL,Disqualified,+DI <= -DI | MACD fails conditions,45.70000076293945,31.140982137363203,52.095257753292536,21.321389002824706,11508700.0,10090774.843579099,0.9618734190926261,1.334872382934695,4.8373907321953515,0,0,0,0
APAC,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
APH,Passed,Passed,165.14999389648438,134.43583840924734,65.00984247758012,31.210641917920498,323312500.0,276063007.2827109,6.826076770666447,5.84239973299019,6.479125047658552,10,10,0,20
API,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,3.880000114440918,3.997983101846724,39.52907572905958,18.31328085229426,15138200.0,15294763.947267042,-0.011296664847298743,0.06765961292852804,0.28002114847417026,0,0,0,0
APP,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,445.92999267578125,495.0834497665432,36.60517216884227,21.002095154547195,151801600.0,179343356.72156417,-13.084602011724712,-1.9437304059465816,32.25681510837966,0,0,0,0
APPF,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,144.77999877929688,191.4558918877902,37.453739022893004,16.258486976566523,-6696800.0,-6219365.543938896,-4.509466559843588,-2.4991639918253643,7.706167235242646,0,0,0,0
APPN,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,20.6299991607666,26.65325745454736,40.8694554523037,17.117171624546625,12766400.0,14524346.37350167,-0.5296624656444529,-0.10197191676786364,1.4299307751170482,0,0,0,0
APXT,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
ARBB,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,4.579999923706055,5.347397802835593,39.46352875818587,24.384339080257273,16856400.0,16904251.445579413,-0.05275805903358677,0.07432184697774644,0.3393923068618726,0,0,0,0
ARBE,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,0.6499999761581421,1.1142384820157298,32.10340213832376,23.372055627228452,29621700.0,39988804.57693438,-0.07568320663548289,-0.03866200919614405,0.09612469580125667,0,0,0,0
ARCI,Disqualified,Insufficient Data,,,,,,,,,,,0,0,0,0
AREN,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,1.1200000047683716,3.0873968710181687,35.88266752491852,43.293927105512566,-883100.0,-789093.0017368033,-0.17383836108163697,-0.19609351852304294,0.15338361850070828,0,0,0,0
ARIS,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,15.0,15.736932769553519,39.3176646697326,19.144983852924774,72689000.0,76734106.40395702,-0.6105360281798404,-0.5701154018645773,1.0870421187870813,0,0,0,0
ARM,Disqualified,MACD fails conditions,347.7099914550781,197.12123754299768,50.72806038313892,37.280756384629505,209536600.0,198879535.14386734,27.669313470509508,35.97562917853861,36.259491098676044,0,0,0,0
